"","geoname","county","year","X","incper","popdens","DO","urbanrural","incper2","incper3","SCI","sci2","sci3"
"16","ARBD","Armstrong, PA",2011,17,38427,39.90988372,8.668666667,1,1476634329,56742627360483,0.853756095577721,0.728899470736114,0.622302366204332
"22","ARBD","Armstrong, PA",2012,22,38448,39.74825581,8.549342105,1,1478248704,56835706171392,0.935735656350932,0.87560121856651,0.81933128095701
"27","ARBD","Armstrong, PA",2013,25,38547,39.59011628,8.766483516,1,1485871209,57275877493323,0.925226713685185,0.856044471716688,0.792035213334801
"32","ARBD","Armstrong, PA",2014,29,39980,39.3372093,9.142134831,1,1598400400,63904047992000,0.902482076154928,0.81447389778091,0.735048094243313
"37","ARBD","Armstrong, PA",2015,34,39789,38.92616279,8.885875706,1,1583164521,62992533126069,0.883842976388245,0.781178406910831,0.690439048254296
"42","ARBD","Armstrong, PA",2016,38,40522,38.65465116,8.254385965,1,1642032484,66538440316648,0.883842976388245,0.781178406910831,0.690439048254296
"17","ARBLD","Armstrong, PA",2011,16,38427,39.90988372,8.714285714,0,1476634329,56742627360483,0.853756095577721,0.728899470736114,0.622302366204332
"20","ARBLD","Armstrong, PA",2012,20,38448,39.74825581,8.603355705,0,1478248704,56835706171392,0.935735656350932,0.87560121856651,0.81933128095701
"25","ARBLD","Armstrong, PA",2013,23,38547,39.59011628,8.63021978,0,1485871209,57275877493323,0.925226713685185,0.856044471716688,0.792035213334801
"30","ARBLD","Armstrong, PA",2014,28,39980,39.3372093,9.111731844,0,1598400400,63904047992000,0.902482076154928,0.81447389778091,0.735048094243313
"35","ARBLD","Armstrong, PA",2015,33,39789,38.92616279,8.789385475,0,1583164521,62992533126069,0.883842976388245,0.781178406910831,0.690439048254296
"38","ARBLD","Armstrong, PA",2016,41,40522,38.65465116,8.688372093,0,1642032484,66538440316648,0.883842976388245,0.781178406910831,0.690439048254296
"157","ARCWBY","Westmoreland, PA",2011,157,41964,135.8527767,8.287428571,1,1760977296,73897651249344,0.599295815767987,0.359155474797017,0.215240373256017
"158","ARCWBY","Westmoreland, PA",2012,158,43811,135.3630265,8.166037736,1,1919403721,84090996420731,0.585646685618727,0.3429820403762,0.20086629517307
"159","ARCWBY","Westmoreland, PA",2013,159,43180,134.6071562,8.38,1,1864512400,80509645432000,0.579050917743223,0.335299965339269,0.194155752648975
"160","ARCWBY","Westmoreland, PA",2014,160,44955,133.9537831,9.304672897,1,2020952025,90851898283875,0.590086378414673,0.348201933990545,0.205469218185466
"161","ARCWBY","Westmoreland, PA",2015,161,46388,133.3205367,8.466120219,1,2151846544,99819857483072,0.578308593049467,0.334440828794854,0.19341000515865
"162","ARCWBY","Westmoreland, PA",2016,162,47096,132.4852777,7.648913043,1,2218033216,104460492340736,0.578308593049467,0.334440828794854,0.19341000515865
"151","ARF","Venango, PA",2011,151,35594,30.92877332,9.649473684,1,1266932836,45095207364584,0.891285873993578,0.794390509180496,0.708029039267142
"152","ARF","Venango, PA",2012,152,35764,30.65686829,8.880555556,1,1279063696,45744434023744,0.912116485909838,0.831956483868511,0.758841224496051
"153","ARF","Venango, PA",2013,153,35755,30.47201809,9.535211268,1,1278420025,45709907993875,0.919287949653435,0.845090334378016,0.776881360762301
"154","ARF","Venango, PA",2014,154,37183,30.23120407,9.600980392,1,1382575489,51408304407487,0.907494238781589,0.823545793421776,0.747363062903074
"155","ARF","Venango, PA",2015,155,37875,30.01752402,9.197826087,1,1434515625,54332279296875,0.899920182288688,0.809856334490505,0.728806060162343
"156","ARF","Venango, PA",2016,156,38174,29.72413793,9.349295775,1,1457254276,55629224732024,0.899920182288688,0.809856334490505,0.728806060162343
"15","ARLD","Armstrong, PA",2011,15,38427,39.90988372,8.751315789,0,1476634329,56742627360483,0.853756095577721,0.728899470736114,0.622302366204332
"19","ARLD","Armstrong, PA",2012,21,38448,39.74825581,8.432191781,0,1478248704,56835706171392,0.935735656350932,0.87560121856651,0.81933128095701
"24","ARLD","Armstrong, PA",2013,26,38547,39.59011628,8.813186813,0,1485871209,57275877493323,0.925226713685185,0.856044471716688,0.792035213334801
"29","ARLD","Armstrong, PA",2014,30,39980,39.3372093,9.018131868,0,1598400400,63904047992000,0.902482076154928,0.81447389778091,0.735048094243313
"34","ARLD","Armstrong, PA",2015,36,39789,38.92616279,9.123626374,0,1583164521,62992533126069,0.883842976388245,0.781178406910831,0.690439048254296
