,geoname,year,incper,poptot,area,popdens
1,"Adams, PA",2011,38998,101650,1352,75.18491124
2,"Adams, PA",2012,40351,101535,1352,75.09985207
3,"Adams, PA",2013,41274,101407,1352,75.00517751
4,"Adams, PA",2014,43432,101612,1352,75.15680473
5,"Adams, PA",2015,45204,102063,1352,75.49038462
6,"Adams, PA",2016,45853,102180,1352,75.57692308
7,"Allegheny, PA",2011,48192,1227535,1930,636.0284974
8,"Allegheny, PA",2012,49845,1230842,1930,637.7419689
9,"Allegheny, PA",2013,50096,1233631,1930,639.1870466
10,"Allegheny, PA",2014,52008,1232666,1930,638.6870466
11,"Allegheny, PA",2015,54396,1229298,1930,636.9419689
12,"Allegheny, PA",2016,54796,1225365,1930,634.9041451
13,"Armstrong, PA",2011,38427,68645,1720,39.90988372
14,"Armstrong, PA",2012,38448,68367,1720,39.74825581
15,"Armstrong, PA",2013,38547,68095,1720,39.59011628
16,"Armstrong, PA",2014,39980,67660,1720,39.3372093
17,"Armstrong, PA",2015,39789,66953,1720,38.92616279
18,"Armstrong, PA",2016,40522,66486,1720,38.65465116
19,"Beaver, PA",2011,38637,170354,1150,148.133913
20,"Beaver, PA",2012,39917,170250,1150,148.0434783
21,"Beaver, PA",2013,40152,170045,1150,147.8652174
22,"Beaver, PA",2014,41421,169392,1150,147.2973913
23,"Beaver, PA",2015,42909,168908,1150,146.8765217
24,"Beaver, PA",2016,43659,167429,1150,145.5904348
25,"Bedford, PA",2011,33376,49414,2629,18.79573983
26,"Bedford, PA",2012,34096,49375,2629,18.78090529
27,"Bedford, PA",2013,34383,49111,2629,18.68048688
28,"Bedford, PA",2014,35346,48925,2629,18.60973754
29,"Bedford, PA",2015,37196,48522,2629,18.45644732
30,"Bedford, PA",2016,37873,48325,2629,18.38151388
31,"Berks, PA",2011,39949,412676,2243,183.9839501
32,"Berks, PA",2012,41849,413331,2243,184.2759697
33,"Berks, PA",2013,41187,413687,2243,184.4346857
34,"Berks, PA",2014,43182,414021,2243,184.5835934
35,"Berks, PA",2015,44933,414635,2243,184.8573339
36,"Berks, PA",2016,45763,414812,2243,184.9362461
37,"Blair, PA",2011,36434,127178,1365,93.17069597
38,"Blair, PA",2012,37559,126991,1365,93.03369963
39,"Blair, PA",2013,37534,126419,1365,92.61465201
40,"Blair, PA",2014,39121,126019,1365,92.32161172
41,"Blair, PA",2015,40907,125506,1365,91.94578755
42,"Blair, PA",2016,41754,124650,1365,91.31868132
43,"Bradford, PA",2011,35155,63044,3007,20.96574659
44,"Bradford, PA",2012,37166,62847,3007,20.90023279
45,"Bradford, PA",2013,36912,62350,3007,20.73495178
46,"Bradford, PA",2014,38572,61744,3007,20.53342202
47,"Bradford, PA",2015,39129,61329,3007,20.39541071
48,"Bradford, PA",2016,39237,60770,3007,20.20951114
49,"Bucks, PA",2011,55423,626397,1611,388.8249534
50,"Bucks, PA",2012,58513,625930,1611,388.5350714
51,"Bucks, PA",2013,59233,625783,1611,388.4438237
52,"Bucks, PA",2014,61903,626169,1611,388.6834264
53,"Bucks, PA",2015,64508,626821,1611,389.088144
54,"Bucks, PA",2016,65895,626399,1611,388.8261949
55,"Butler, PA",2011,45458,184723,2059,89.71491015
56,"Butler, PA",2012,48116,185081,2059,89.88878096
57,"Butler, PA",2013,47815,185360,2059,90.02428363
58,"Butler, PA",2014,49708,186141,2059,90.40359398
59,"Butler, PA",2015,52108,186441,2059,90.54929577
60,"Butler, PA",2016,52698,186847,2059,90.74647887
61,"Cambria, PA",2011,34997,142572,1795,79.42729805
62,"Cambria, PA",2012,35557,141531,1795,78.84735376
63,"Cambria, PA",2013,36124,138837,1795,77.34651811
64,"Cambria, PA",2014,37129,137517,1795,76.61114206
65,"Cambria, PA",2015,38436,136194,1795,75.87409471
66,"Cambria, PA",2016,39322,134732,1795,75.05961003
67,"Cameron, PA",2011,38741,4989,1033,4.829622459
68,"Cameron, PA",2012,38647,4946,1033,4.787996128
69,"Cameron, PA",2013,41005,4886,1033,4.729912875
70,"Cameron, PA",2014,43057,4785,1033,4.6321394
71,"Cameron, PA",2015,43215,4742,1033,4.590513069
72,"Cameron, PA",2016,43879,4677,1033,4.527589545
73,"Carbon, PA",2011,36904,65141,1002,65.01097804
74,"Carbon, PA",2012,38819,64963,1002,64.83333333
75,"Carbon, PA",2013,40422,64721,1002,64.59181637
76,"Carbon, PA",2014,41904,64435,1002,64.30638723
77,"Carbon, PA",2015,44161,63936,1002,63.80838323
78,"Carbon, PA",2016,45622,63594,1002,63.46706587
79,"Centre, PA",2011,36919,154995,2880,53.81770833
80,"Centre, PA",2012,38003,155936,2880,54.14444444
81,"Centre, PA",2013,38825,158331,2880,54.97604167
82,"Centre, PA",2014,40395,159666,2880,55.43958333
83,"Centre, PA",2015,40458,160491,2880,55.72604167
84,"Centre, PA",2016,41032,161464,2880,56.06388889
85,"Chester, PA",2011,64442,503652,1968,255.9207317
86,"Chester, PA",2012,67880,506278,1968,257.2550813
87,"Chester, PA",2013,68073,509396,1968,258.8394309
88,"Chester, PA",2014,71861,512899,1968,260.6194106
89,"Chester, PA",2015,74825,515253,1968,261.8155488
90,"Chester, PA",2016,75281,516312,1968,262.3536585
91,"Clarion, PA",2011,36077,39883,1577,25.29042486
92,"Clarion, PA",2012,35477,39437,1577,25.00760938
93,"Clarion, PA",2013,35769,39066,1577,24.77235257
94,"Clarion, PA",2014,36088,38847,1577,24.63348129
95,"Clarion, PA",2015,37000,38831,1577,24.62333545
96,"Clarion, PA",2016,37592,38513,1577,24.42168675
97,"Clearfield, PA",2011,36674,81467,2989,27.25560388
98,"Clearfield, PA",2012,36906,81479,2989,27.2596186
99,"Clearfield, PA",2013,37149,81601,2989,27.30043493
100,"Clearfield, PA",2014,37977,81205,2989,27.16794915
101,"Clearfield, PA",2015,39156,80967,2989,27.08832385
102,"Clearfield, PA",2016,40266,80596,2989,26.96420207
103,"Clinton, PA",2011,32004,39520,2326,16.9905417
104,"Clinton, PA",2012,33188,39740,2326,17.08512468
105,"Clinton, PA",2013,33632,39854,2326,17.13413586
106,"Clinton, PA",2014,35697,39494,2326,16.97936371
107,"Clinton, PA",2015,36666,39359,2326,16.92132416
108,"Clinton, PA",2016,36168,39233,2326,16.86715391
109,"Columbia, PA",2011,34157,66926,1269,52.7391647
110,"Columbia, PA",2012,34991,66888,1269,52.70921986
111,"Columbia, PA",2013,35182,67044,1269,52.8321513
112,"Columbia, PA",2014,35851,66922,1269,52.73601261
113,"Columbia, PA",2015,37359,66586,1269,52.47123719
114,"Columbia, PA",2016,38671,66420,1269,52.34042553
115,"Crawford, PA",2011,33077,88104,2688,32.77678571
116,"Crawford, PA",2012,33839,87675,2688,32.6171875
117,"Crawford, PA",2013,34399,87435,2688,32.52790179
118,"Crawford, PA",2014,35786,87128,2688,32.41369048
119,"Crawford, PA",2015,36543,86638,2688,32.23139881
120,"Crawford, PA",2016,36975,86257,2688,32.08965774
121,"Cumberland, PA",2011,44675,236891,1427,166.0063069
122,"Cumberland, PA",2012,46819,239217,1427,167.6362999
123,"Cumberland, PA",2013,47224,241265,1427,169.0714786
