GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
42000,Pennsylvania,30381,31359,31908,32963,34916,36247,38060,40302,41932,40696,42001,44021,45871,46121,47977,49811,50742
42001,"Adams, PA",26262,27966,28704,29964,30924,32190,33526,35723,36887,37097,37617,38998,40351,41274,43432,45204,45853
42003,"Allegheny, PA",34375,34667,35323,36278,37897,39253,42093,44331,46317,44799,46091,48192,49845,50096,52008,54396,54796
42005,"Armstrong, PA",23562,24236,25540,26047,26929,28637,30869,31709,36264,33579,35100,38427,38448,38547,39980,39789,40522
42007,"Beaver, PA",25141,26609,26639,27114,28631,30049,32537,34165,35695,35627,36785,38637,39917,40152,41421,42909,43659
42009,"Bedford, PA",21917,22754,23304,23983,24261,23963,25878,28185,30223,29993,31403,33376,34096,34383,35346,37196,37873
42011,"Berks, PA",29586,30363,30917,31291,31920,32871,35007,36599,37591,36725,38073,39949,41849,41187,43182,44933,45763
42013,"Blair, PA",24852,25170,26060,27239,28668,29834,30677,32212,33400,33668,34581,36434,37559,37534,39121,40907,41754
42015,"Bradford, PA",22489,23506,24233,25219,25885,26283,27161,28363,29891,29671,31712,35155,37166,36912,38572,39129,39237
42017,"Bucks, PA",38990,40772,40977,42086,44321,46399,49254,51918,53337,51104,52770,55423,58513,59233,61903,64508,65895
42019,"Butler, PA",29256,30311,30426,31396,32999,35011,37187,39902,42272,40979,42568,45458,48116,47815,49708,52108,52698
42021,"Cambria, PA",23098,24475,25041,26069,27071,27983,29307,31078,32851,32759,32541,34997,35557,36124,37129,38436,39322
42023,"Cameron, PA",23785,24493,25886,26916,29267,29547,31273,33414,34074,34756,36519,38741,38647,41005,43057,43215,43879
42025,"Carbon, PA",24682,25005,25720,26621,28714,31388,30316,33958,37375,35072,35748,36904,38819,40422,41904,44161,45622
42027,"Centre, PA",25079,26511,26769,27442,29238,30707,31394,32463,33958,33690,35096,36919,38003,38825,40395,40458,41032
42029,"Chester, PA",47106,47408,47696,50194,55238,58210,61224,63916,64344,61732,61667,64442,67880,68073,71861,74825,75281
42031,"Clarion, PA",22363,24028,24942,25734,28010,29636,30206,31221,36053,32900,34903,36077,35477,35769,36088,37000,37592
42033,"Clearfield, PA",22255,23632,24999,25920,27343,28033,29274,30650,33062,33418,34836,36674,36906,37149,37977,39156,40266
42035,"Clinton, PA",21710,21971,22488,22965,24627,24602,25055,26268,28081,28282,29448,32004,33188,33632,35697,36666,36168
42037,"Columbia, PA",23170,23988,25234,25849,26627,27551,28045,29939,31339,31229,32511,34157,34991,35182,35851,37359,38671
42039,"Crawford, PA",23182,23349,23761,24326,25217,26042,27258,28479,30009,29802,31184,33077,33839,34399,35786,36543,36975
42041,"Cumberland, PA",32303,33645,34567,35774,37317,38534,39504,41513,42558,41555,42384,44675,46819,47224,49003,50640,51384
42043,"Dauphin, PA",30754,31825,32640,33442,34773,35496,36901,38275,39519,39092,40142,42041,43160,43509,44985,46837,47864
42045,"Delaware, PA",37376,38582,38718,39897,41277,42964,45670,46750,48740,47107,48801,50869,53088,53376,55705,58119,59594
42047,"Elk, PA",26157,26075,26890,27776,30088,31164,32960,35113,38194,37064,38569,39780,40143,40213,42628,43399,44772
42049,"Erie, PA",25361,25908,26556,27046,28488,29400,30913,32703,34144,33477,34412,36753,37866,37626,38808,40186,40764
42051,"Fayette, PA",22370,23247,24626,25496,25974,26325,27582,29626,31400,31516,32986,34613,35447,35791,36803,38085,38960
42053,"Forest, PA",20396,20480,19947,19952,19524,19248,18811,18342,20835,20714,21318,21524,22243,23075,24201,23951,24639
42055,"Franklin, PA",25779,26840,27174,28350,30278,31605,32772,34613,35441,35252,35942,37809,38564,39048,40687,41668,42275
42057,"Fulton, PA",23552,23582,23174,23502,25969,28142,30123,29078,29620,29096,30186,32557,33502,34014,35921,36869,37026
42059,"Greene, PA",20620,21330,21382,22211,23259,23941,25588,27363,30384,31341,33732,37041,39719,41402,44703,43816,42565
42061,"Huntingdon, PA",20123,21321,21741,22417,24003,24681,25996,28046,30047,30417,31018,32564,32966,33155,34624,36083,37077
42063,"Indiana, PA",22317,23577,24187,24998,26480,28059,29252,30815,31665,30837,31301,32848,33494,33257,34492,34868,35482
42065,"Jefferson, PA",22566,23985,24771,25733,26709,27993,29875,31417,33884,32795,34125,35906,36126,36157,37235,38073,38222
42067,"Juniata, PA",22627,24009,25050,26422,28180,29030,29255,30321,31844,31163,31986,32955,33488,34851,36245,38620,38715
42069,"Lackawanna, PA",27586,28919,29002,29690,31135,32158,33365,34964,36753,36628,37788,38921,39875,39271,40923,42650,43616
42071,"Lancaster, PA",29069,30466,30561,31744,33564,34792,35504,36823,38144,36753,37543,39123,40289,40833,42959,45106,45839
42073,"Lawrence, PA",23092,23615,24450,25651,26540,27082,28585,30855,32449,32631,34060,36124,37232,37132,38288,39276,40061
42075,"Lebanon, PA",26923,28633,28843,29678,31680,32476,33729,35153,36414,35883,37009,38671,39340,40132,41459,43295,43576
42077,"Lehigh, PA",31395,33852,34482,35137,36508,38013,39781,42026,43383,41545,43325,44367,44375,44480,46026,47960,48834
42079,"Luzerne, PA",26659,27280,28089,28974,30386,30998,32263,33979,35317,35122,35728,36995,37828,37965,39149,40696,41809
42081,"Lycoming, PA",23555,24896,25657,26637,27724,28303,29257,30815,32336,32584,34093,37056,38167,38534,39973,40506,40185
42083,"McKean, PA",24493,24987,24931,25996,27424,27978,29365,30648,32586,32169,33160,36678,37789,38228,39509,39217,39416
42085,"Mercer, PA",23847,24280,24922,25736,27029,28089,29669,31395,32445,31500,32247,34247,34818,35598,36455,38045,38872
42087,"Mifflin, PA",21176,22202,22389,23000,24331,25474,26147,27437,28496,28615,29782,31127,31822,32338,33741,34924,35717
42089,"Monroe, PA",25338,26438,26962,27410,28686,29415,30534,31891,33471,32223,31756,33327,33281,34975,36416,37940,39104
42091,"Montgomery, PA",48995,49972,50484,51705,54991,56518,61447,63274,57607,56655,60945,65571,69830,66589,69282,71969,72780
42093,"Montour, PA",26704,27243,28404,28742,31554,32047,35298,38304,41085,40527,42066,45147,46552,47915,49264,50827,51877
42095,"Northampton, PA",29409,30505,31379,32701,34196,36683,38049,40885,42938,40356,40553,42186,43299,44193,45924,47604,48650
42097,"Northumberland, PA",23023,24857,25209,26178,27541,27876,28739,30389,31516,31734,32727,34634,35161,35676,36343,37771,38764
42099,"Perry, PA",25206,26489,26213,27049,29126,29508,30225,31648,33858,33575,34110,35802,36634,37303,38571,40038,40573
42101,"Philadelphia, PA",25254,25734,26474,27770,30068,30628,32077,36906,41959,39549,40846,41662,44906,46614,48311,49797,51645
42103,"Pike, PA",25153,26599,28045,28735,30991,31914,33080,34711,35150,33596,34278,35435,36686,37112,38813,41120,42332
42105,"Potter, PA",24413,24884,25019,27082,58812,96019,35031,30038,39842,28783,29950,31845,32983,32979,34318,35165,36338
42107,"Schuylkill, PA",23491,24511,25345,26328,27242,28282,29349,31428,33116,33129,34205,35569,36181,36445,37829,39745,40325
42109,"Snyder, PA",25639,26285,25898,27044,29049,29547,30127,31254,32439,32269,32785,34513,35066,35975,36833,38214,38247
42111,"Somerset, PA",21518,22582,22741,23508,25501,26259,27081,28718,30965,30774,33695,34170,34759,34597,35625,36555,37250
42113,"Sullivan, PA",22747,24151,25152,25533,26364,25981,26599,28815,30762,30870,31766,33843,35028,36378,38721,39851,40211
42115,"Susquehanna, PA",23770,24769,24851,25504,27519,27124,28206,29465,30694,29952,31610,34861,36280,37500,39086,40026,40747
42117,"Tioga, PA",21331,21788,22130,22987,24174,24332,25204,26378,27719,27917,29915,33072,33606,34045,35162,36380,36499
42119,"Union, PA",22694,24342,24590,25717,27882,28252,28569,29488,31288,30892,30447,32150,33177,34127,35103,35787,36251
42121,"Venango, PA",23863,25026,25454,26635,28200,28684,29944,30870,32966,32701,33771,35594,35764,35755,37183,37875,38174
42123,"Warren, PA",23954,25159,24982,26200,28357,30427,32442,33632,36341,33211,33927,35850,37708,39439,42074,39734,39645
42125,"Washington, PA",28265,29455,29771,30347,32712,34224,36852,38821,40312,39855,42194,44930,46697,47685,49876,52072,52834
42127,"Wayne, PA",23818,25880,26749,27451,28312,28510,29059,30206,32625,32145,32898,34588,35301,35294,36037,37543,38965
42129,"Westmoreland, PA",27423,29128,29554,30232,32293,33920,35782,37288,39318,38338,39511,41964,43811,43180,44955,46388,47096
42131,"Wyoming, PA",22967,24257,25238,25663,26877,27773,29348,30243,32091,32075,32488,36069,37653,37823,39707,40969,41633
42133,"York, PA",29139,29620,29928,31351,34024,36033,36019,38926,41955,40399,40442,41589,42438,42129,43170,44983,45918
Legend / Footnotes:,,,,,,,,,,,,,,,,,,
