"","X","geoname","county","year","incper","popdens","DO","urbanrural"
"1",133,"LRG","Northampton, PA",2011,42186,305.6147541,9.554666667,1
"2",134,"LRG","Northampton, PA",2012,43299,306.6526639,9.024757282,1
"3",135,"LRG","Northampton, PA",2013,44193,306.892418,9.400913242,1
"4",136,"LRG","Northampton, PA",2014,45924,307.6803279,9.8364,1
"5",137,"LRG","Northampton, PA",2015,47604,308.5963115,9.679148936,1
"6",138,"LRG","Northampton, PA",2016,48650,309.727459,9.336885246,1
"7",139,"DRB","Philadelphia, PA",2011,41662,4159.518919,8.504247104,1
"8",140,"DRB","Philadelphia, PA",2012,44906,4190.213514,7.030923695,1
"9",141,"DRB","Philadelphia, PA",2013,46614,4205.048649,7.225984252,1
"10",142,"DRB","Philadelphia, PA",2014,48311,4217.862162,7.646428571,1
"11",143,"DRB","Philadelphia, PA",2015,49797,4229.632432,7.264754098,1
"12",144,"DRB","Philadelphia, PA",2016,51645,4237.491892,6.616,1
"13",127,"SRVD","Montgomery, PA",2011,65571,638.778747,9.15,1
"14",128,"SRVD","Montgomery, PA",2012,69830,641.9825535,9.34375,1
"15",129,"SRVD","Montgomery, PA",2013,66589,645.0436162,9.126960784,1
"16",130,"SRVD","Montgomery, PA",2014,69282,647.3830293,9.536,1
"17",131,"SRVD","Montgomery, PA",2015,71969,648.9793814,9.018181818,1
"18",132,"SRVD","Montgomery, PA",2016,72780,651.6455194,9.183163265,1
"19",73,"DRC","Delaware, PA",2011,50869,1129.482828,7.634322034,1
"20",76,"DRC","Delaware, PA",2012,53088,1132.99798,6.734599156,1
"21",78,"DRC","Delaware, PA",2013,53376,1134.220202,7.474166667,1
"22",79,"DRC","Delaware, PA",2014,55705,1136.529293,7.849819495,1
"23",82,"DRC","Delaware, PA",2015,58119,1138.022222,8.628658537,1
"24",84,"DRC","Delaware, PA",2016,59594,1138.185859,7.504347826,1
"25",55,"WBBC","Chester, PA",2011,64442,255.9207317,10.14,1
"26",57,"WBBC","Chester, PA",2012,67880,257.2550813,9.803321033,1
"27",60,"WBBC","Chester, PA",2013,68073,258.8394309,10.44028269,1
"28",62,"WBBC","Chester, PA",2014,71861,260.6194106,10.89587302,1
"29",63,"WBBC","Chester, PA",2015,74825,261.8155488,11.17286136,1
"30",66,"WBBC","Chester, PA",2016,75281,262.3536585,10.03053691,1
"31",56,"EBBC","Chester, PA",2011,64442,255.9207317,9.755052265,1
"32",58,"EBBC","Chester, PA",2012,67880,257.2550813,9.587900356,1
"33",59,"EBBC","Chester, PA",2013,68073,258.8394309,9.984115523,1
"34",61,"EBBC","Chester, PA",2014,71861,260.6194106,10.27169118,1
"35",64,"EBBC","Chester, PA",2015,74825,261.8155488,9.883571429,1
"36",65,"EBBC","Chester, PA",2016,75281,262.3536585,9.684671533,1
"37",74,"BCC","Delaware, PA",2011,50869,1129.482828,9.896071429,1
"38",75,"BCC","Delaware, PA",2012,53088,1132.99798,9.858477509,1
"39",77,"BCC","Delaware, PA",2013,53376,1134.220202,10.0265233,1
