GeoName,area
"Adams, PA",1352
"Allegheny, PA",1930
"Armstrong, PA",1720
"Beaver, PA",1150
"Bedford, PA",2629
"Berks, PA",2243
"Blair, PA",1365
"Bradford, PA",3007
"Bucks, PA",1611
"Butler, PA",2059
"Cambria, PA",1795
"Cameron, PA",1033
"Carbon, PA",1002
"Centre, PA",2880
"Chester, PA",1968
"Clarion, PA",1577
"Clearfield, PA",2989
"Clinton, PA",2326
"Columbia, PA",1269
"Crawford, PA",2688
"Cumberland, PA",1427
"Dauphin, PA",1445
"Delaware, PA",495
"Elk, PA",2155
"Erie, PA",2069
"Fayette, PA",2067
"Forest, PA",1116
"Franklin, PA",1997
"Fulton, PA",1134
"Greene, PA",14497
"Huntingdon, PA",2302
"Indiana, PA",2160
"Jefferson, PA",1702
"Juniata, PA",1020
"Lackawanna, PA",1204
"Lancaster, PA",2549
"Lawrence, PA",940
"Lebanon, PA",940
"Lehigh, PA",904
"Luzerne, PA",2349
"Lycoming, PA",3222
"McKean, PA",2549
"Mercer, PA",1769
"Mifflin, PA",1075
"Monroe, PA",1598
"Montgomery, PA",1261
"Montour, PA",342
"Northampton, PA",976
"Northumberland, PA",1235
"Perry, PA",1440
"Philadelphia, PA",370
"Pike, PA",1469
"Potter, PA",2800
"Schuylkill, PA",2015
"Snyder, PA",860
"Somerset, PA",2800
"Sullivan, PA",1171
"Susquehanna, PA",2155
"Tioga, PA",2945
"Union, PA",821
"Venango, PA",1769
"Warren, PA",2326
"Washington, PA",2230
"Wayne, PA",1945
"Westmoreland, PA",2683
"Wyoming, PA",1049
"York, PA",2357
